text,summary
"% A trust with the settler, her son and two others, as trustees was created.",Part of the trust property included a large house.
By sub section,"6 of section 10 of the Indian Income tax Act, 1922: ""A trade, professional or similar association performing specific services for its members for remuneration definitely related to those services shall be deemed for the purpose of this section to carry on business in respect of those services, and the profits and gains therefrom shall be liable to tax accordingly."
vil Appeal No. 574 (NCE) of I987.,From the Judgment and Order dated 18.2.
ivil Appeal No. 539 of 1976.,From the Judgment and Order dated 26.8.1975 of the Gujarat High Court in Spl.
Appeal No. 728 of 1964.,Appeal by special leave from the.
No. 147 of 1972.,(Appeal by Special Leave from the Judgment and Order dated 19.2.1971 of the Calcutta High Court in Income Tax Ref.
vil Appeal Nos. 3187 and 3188 of 1988.,From the Judgment and Order dated 4.4.1988 of the Madhya Pradesh High Court in CR No. 26 of 1988.
vil Appeal Nos. 182 1 to 1826 of 1971 etc.,From the Judgment and Order dated 11.8.1971 of the Madras High Court in Writ Petition Nos.
The appellant as reversioner sued for a declaration that the adoption of respondent 1 by respondent 2 to her deceased husband was invalid in law and respondent 1 acquired no right to the properties left by the husband of respondent 2.,The parties were governed by the Banaras School of Mitakshal a Hindu law and respondent 1 was the sister 's daughter 's son of respondent 2.
"The appellants, private stage carriage operators, applied for the renewal of their expiring bus permits.","The re spondent State Transport Undertaking objected, urging preferential grounds in its own favour, claiming to have secured higher marks with the aid of r. 155 A of the Motor Vehicles Rules."
"Under Mahomedan law a person who has charge of the person or property of a minor without being his legal guardian, i.e., a de facto guardian, has no power to convey to another any right or interest in immoveable property which the transferee can enforce against the minor.",The question whether the transaction has resulted in a benefit to the minor is immaterial in such cases.
The first respondent joined the post of Extra Assistant Superintendent in the Survey of India Service in 1938.,Later he was taken into the Class I Service of the Survey of India and rose to the post of Deputy Director.
The appellant was declared elected to the House of the People from a parliamentary constituency.,"The respondent No. 1 challenged the election of the appellant on the ground that the appellant, his election and other agents committed many corrupt practices falling within section 123 of the Representation of the People Act, 1951."
"The assessee, an individual, derived income from various.",sources including commission agency business and shares in partnership firms.
Mr Williams was employed by Swansea University from 12 June 2000 until he retired for ill health reasons on 30 June 2013 at the age of 38.,He suffers from Tourettes syndrome and other conditions satisfying the definition of disability under section 6 of the Equality Act 2010 (the 2010 Act).
"A common question of law having arisen in this group of cases for determination by this Court, they were heard together.",Lands of Respondents in Civil Appeal Nos.
"S, the owner of some land in a village in Punjab, died leaving a widow and the respondent, his daughter by another wife.","The widow sold a part of the land in February 1958 to the appellants, whereupon the respondent filed a suit for possession by pre emption of the land sold."
"The State of Uttar Pradesh issued two notifications in 1953, by one of which the Uttar Pradesh Zamindari Abolition and Land Reforms Act, 1950, was extended to certain areas, in which, Pargana Agori which was owned by the respondent was situate, and by the other, it was directed that all "" estates"" in the area including the Pargana should vest in the State.",The respondent challenged the notifications by a writ petition on the ground that the Pargana was not an estate within section 3 (8) of the Act.
Appeal No. 1694 of 1971.,(From the Judgment and Decree dt. 11 2 70 of the Allaha bad High Court in Civil Misc.
"The respondent assessee, a private limited company and a licensee, under an agreement was required to pay to its foreign colaborators (licensors) certain amounts towards cost of working drawings and royalty.",It applied to the Income Tax Officer to grant the necessary certificate to enable it to approach the Reserve Bank of India for remittance to its foreign collaborators.
civil Appeal No. 353 of 1955.,On appeal by special leave from the judgment and order dated the 22nd August 1955 of the Labour Appellate Tribunal of India at Lucknow in Misc.
"The appellant contested the election to the Karnataka State Legislative Council from the Chitradurga Local Author ities Constituency, comprising 121 Mandal Panchayats.",The last date and time fixed for receiving nomination papers was 3.00 p.m. on 3.6.1988.
"The appellants husband and wife moved the High Court under Article 226 for quashing of a search warrant issued by respondent No. 2 Assistant Director, Enforcement, as also the warrant of authorisation issued by respondent No. 5 Commissioner of Income Tax and for a direction to return articles seized during the search of their house and for relief incidental and ancillary thereto.",The appellants alleged that respondent No. 6 an Assistant Com.
y Application No. 1 of 1992.,IN Writ Petition No. 1165 of 1986.
"By the Constitution (Fifty Second Amendment) Act, 1985 (popularly known as the Anti defection law) the Tenth Schedule was inserted in the constitution of India providing for disqualification of a Member of either House of Parliament or of a State Legislature found to have defected from continuing as a Member of the House.","Paragraph 2 of the Tenth Schedule states that a Member of a House would incur disqualification if he voluntarily gives up his membership of the party by which he was set up as a candidate at the election, or if he without obtaining prior permission of the political party to which he belongs votes or abstains from voting in the House contrary to ""any direction"" issued by such political party and such voting or abstention has not been condoned by such political party within 15 days from the date of such voting or abstention; or if a Member elected otherwise than as a candidate set up by any political party joins a political party after the 688 election; or, if a nominated Member joins any political party after expiry of six months from the date he took his seat."
"(1) The jurisdiction of the High Court to issue a writ of certiorari under article 226 is a supervisory jurisdiction, and not as an appellate court.",The findings of fact reached by an inferior court or tribunal as result of the appreciation of evidence are not reopened or questioned in these proceedings.
minal Appeal No. 168 of 1959.,"Appeal by special leave from the judgment and order dated September 10, 1958, of the Patna High Court in Criminal Appeal No. 580 of 1953."
"A doctor and his brother riding a motor cycle were hit by a jeep driver and both were killed in November 1971, but the Motor Accident claims Tribunal delivered judgment on 5 9 1976 five years later awarding sums of Rs. 80,000/ and Rs. 73,500/ to the two sets of claimants.",The appeal in this case had to be filed on or before 19 1 77 but was actually filed 30 days later with an application for condonation under section 5 of the Limitation Act on the ground of Counsel 's mistake in the calculation of the period of limitation.
Appeal No. 419 of 1957.,"Appeal by certificate from the judgment and decree dated January 16, 1953, of the Madras High Court in A. section No. 164 of 1949."
ition (Civil) No. 619 of 1987 (Under Article 32 of the Constitution of India).,"Dr. Y.S. Chitale, Brij Bhushan, S.K. Dhingra, Anil Kumar Gupta and B.N. Singhvi for the Petitioners."
"The appellant, while working in the Police Department as a clerk, was selected, and subsequently appointed, as Excise Sub Inspector.","After several years, he was reverted and sent back to his parent department."
ivil Appeal No. 3677 of 1987.,"From the Judgment and Order dated 4.7.1985 of the Andhra Pradesh Administrative Tribunal, Hyderabad in Representation Petition No. 578 of 1978."
ivil Appeal No. 2311 of 1978.,From the Judgment and Order dated 27.3.1978 of the Allahabad High Court in Second Appeal No. 130 of 1975.
Civil Appeals Nos.,374 375 & 457 462 of 1976.
"NO. 893 and 967 of 1979 and W. P. No, 295 of 1980 Under Article 32 of the Constitution of India Dr. Y. section Chitale, and Vineet Kumar for the petitioners m W. P. NOS.",823 & 967 of 1979.
"The appellant was found guilty of gross professional misconduct by the Disciplinary Committee II of the State Bar Council, Tamil Nadu and was therefore, debarred from practice as an Advocate for a period of six years.","In appeal, the Bar Council of India upheld the said findings but reduced the period of suspension to one year."
"The Government Order No. 88 dated 26th March, 1980 provided that retirement gratuity may be 1/3rd of pay drawn at the time of retirement for every 6 monthly service subject to maximum of 20 months pay limited to Rs.30,000.","This order in so far as gratuity is concerned is made effective from 1st April, 1978."
Section 9 read with Third Schedule item 7 of the Kerala General Sales Tax Act 1963 granted exemption from sales tax to certain items including cotton fabrics.,`Cotton fabrics ' was defined as having the same meaning as assigned to it in item 19 of the first Schedule to the .
iminal Appeals Nos. 248 to 251 of 1968.,"Appeals from the judgment an order dated August 13, 1968 of the Calcutta High Court in Criminal Appeals Nos."
The claimant Kevin Nunn was convicted in November 2006 of the murder of his girlfriend following the ending of their relationship.,His application for leave to appeal to the Court of Appeal (Criminal Division) was refused after hearing counsels written and oral representations on his behalf.
"One Mahendra Kumar Saxena moved three applications in the High Court one under O.XXII Rule 3, C.P.C. for substitution of heirs and legal representatives of the deceased appellant, the other under O.XXII rule 9, C.P.C. for setting aside abatement of the appeal if it has abated for failure to seek substitution within the prescribed period of limitation and the third one for condonation of delay section 5 of the .",The High Court transmitted these applications to the trial court for enquiry and report regarding the date of death of the deceased appellant and knowledge about the pendency of the appeal of the heirs and legal representatives in order to ascertain whether the applicant had made out sufficient cause for condoning the delay.
iminal Appeals Nos.,161 to 163 of 1970.
Appeal No. 3273 of 1988.,From the Judgment and Order dated 25 11 1987 of the Central Adminstrative Tribunal Jabalpur in Original Application No. 68 of 1986.
During the accounting period relevant for the assessment year 1950 51 the appellant company obtained a loan of 40 lakhs of rupees from the Industrial Finance Corporation of India.,The loan was secured by a charge on the fixed assets of the company.
"Section 4(2) of the provides that for every completed year of service or part thereof in excess of six months, the employer shall pay gratuity to an employee at the rate of 15 days ' wages based on the rate of wages last drawn by the employee concerned.",The employers sought to pay gratuity by dividing the workman 's monthly wages by 30 and computing the 15 days ' wages on that basis but the workman demanded that his monthly wages should be taken as what he got for 26 working days and not by taking half of his wages in a month of 30 days.
"The Appellant Bank which was registered under the Co operative Societies 'Act, 1922, received, in the relevant account years, by way of interest on deposits with the Imperial Bank of India certain sums of money.","The Income tax Officer assessed the aforesaid sums under section 12 of the Indian Income tax Act 1922, as income from other sources, but the appellant claimed that the deposits were made not with the idea of making investments but for the purpose of carrying on its business as a bank and that as the interest received on the deposits was profit attributable to its business activities it was not subject to incometax because of the Notification issued by the Central Government under section 6o of the Act."
Civil Appeal No. 793 of 1988 etc.,"From the Judgment and order dated 25.6.1987 of the Andhra Pradesh High Court in Writ Petition No. 8019 of 1987 F.S. Nariman, G.L. Sanghi, A.K. Sen, Dr. L.M. Singhvi, Anil B. Diwan, K. Srinivasamurthy, Kailash Vasdev, K.K. Jain, K.S. Murthy, U.K. Khaitan, Ajay K. Jain, Vipin Sanghi, Parveen Kumar, A.M. Singhvi, R.S. Yadav, H.M. Singh, N. Waziri, Vinoo Bhagat, Shree 162 Narain and Sandeep Narain for the Appellants."
"The respondent, a manufacturer of cotton Textiles, purchased unginned cotton and paid purchase tax thereon.","The cotton was ginned and pressed by the respondent, the ginned cotton was used in the manufacture of cotton textile while the cotton seeds were sold by it."
Appeal No. 1090 of 1963.,"Appeal by special leave from the judgment and decree dated June 2, 1961 of the Calcutta High Court in Appeal from Appellate Decree No. 786 of 1956."
"An arbitration agreement was filed in court under section 20 of the , and an order of reference was made thereon.",The arbitrator entered upon the reference and in due course filed his award in court.
Respondent Ram Ratan was employed as a Forest Guard in the Forest Department of Madhya Pradesh Government.,"He was served with a charge sheet dated March 6, 1969, in which he was accused of misconduct."
Petition Nos.,5704 and 8842 of 1990.
Appeal No. 490 of 1965.,"Appeal from the judgment and decree dated April 30, 1964 of the Gujarat High Court in Special Civil Application No. 39 of 1963."
"nder article 132(1) of the Constitution from a judgment and order dated 12th April, 1950, of the High Court of Judicature at Bombay (Chagla C.J., Bavdekar and Shah JJ.): Case No. I X of 1950.","A.S.R. Chari, for the appellant."
Appeal No. 2 of 1958.,"Appeal by special leave from the judgment and decree dated December 18, 1953, of the Madras High Court in Second Appeal No. 24 of 1949."
"Prior to this judgment of the Supreme Court in Dr. Pradeep Jain 's case delivered on 22nd June, 1984, admissions to the post graduate medical courses in the State of Uttar Pradesh were governed by the old rules which provided for reservation of 75% seats for students passing the MBBS examination from the same institution in which admission is sought, that is on the basis of institutional preference with the remaining 25% seats open for students who had passed the MBBS examination from any medical college in the State of Uttar Pradesh and who satisfied the residential requirements in that State.","In Dr. Pradeep Jain 's case the Supreme Court held that admission to post graduate course, such as MD, MS and the like, should be entirely on the basis of all India merit, subject only to Constitutional reservations in favour of scheduled castes and scheduled tribes."
"Based on the audit report dated January 5, 1973 revealing an embezzlement having been committed by the Respondent on 22.8.1972, a challan was presented against him on the 13th October, 1976 under Sec.","406 Penal Code for misappropriating the amounts deposited with him as a Cashier of the Tanda Badha Co operative Society, district Patiala."
"The appellant was being prosecuted for offences under sections 120 B, 420, 471 and 468 read with section 34 I P.C., Section 167 (72) of the Sea Customs Act and Section 5(2) read with section 5(1)(d) of the Prevention of Corruption Act 1947.","At the time when the charge sheet was filed and the special judge took cognizance against the appellant sometime in October, 1970, the appellant ceased to be a public servant and, therefore, no sanction under Section 6 of the Prevention of Corruption Act, 1947 was obtained."
vil Appeals Nos.,359394 of 1989.
tition Nos.,8307 11 of 1983 etc.
The prosecution alleged that there was a dispute between the appellant in Appeal No. 287 of 1978 and the deceased in regard to payment of repair charges for a machine part and that three or four days later this appellant alongwith others attacked the deceased when he was accompanied by P.W. 1 and P.W. 2.,"It was further alleged that while the appel lant in Appeal No. 288 of 1978 caught hold of the deceased, the appellant in the first appeal and two others repeatedly stabbed him with knives and caused several injuries."
The appellant filed a civil suit in the High Court for specific performance of a contract to sell the suit property by the respondents to her.,The High Court held the appellant liable to discharge the mortgage and directed her to deposit in Court a sum of Rs.3.5 lakhs with interest for the pur pose.
minal Appeal No. 119 of 1961.,"Appeal from the judgment and order dated December 21, 1961, of the Calcutta High Court in Cr. A. No. 423 of 1958."
Pursuant to this Court 's direction in K. Siva Reddy & Ors.,vs State of Andhra Pradesh & Ors.
"The appellant on behalf of his firm, which is engaged in processing of stone slabs, placed an order for calcareous stone (other than marble) with the exporter in Italy, and asked the exporter to certify that the said goods were not marble.",The appellant further obtained from the foreign exporter a sample tile and had the same tested by a reputed geologist who confirmed that the sample was not marble.
% The enquiry officer 's report was not made available to the respondent before the disciplinary authority passed the final order recording the finding of guilt against him.,The Central Administrative Tribunal held in favour of the respondent.
The appellant was the elected President of the Municipality.,In a special general meeting of the councillors a resolution expressing no confidence in him as President was moved and passed.
"Whether an enactment Providing for special procedure for the trial of certain offences is or is not discriminatory and violative of article 14 of the Constitution must be determined in each case as it arises, for no general rule applicable to all cases can safely be laid down.","The West Bengal Criminal Law Amendment (Special Courts) Act, 1949, which was entitled an Act to provide for the more speedy trial and more effective punishment of certain offences, and the preamble of which declared that it was expedient to provide for the more speedy trial and the more effective punishment of certain offences which were set out in the Schedule to the Act, empowered the Provincial Government (by sections 2 and 3) to constitute Special Courts of criminal jurisdiction for specified areas and to appoint Special Judges to preside over such courts."
"These writ Petitions have been filed by the employees of the Supreme Court through their Welfare Associations pray ing, in substance, for enhancement of their present pay scales.",Writ Petition No. 801 of 1986 has been filed by the Welfare Association representing class II and class 111 employees whereas Writ Petition No. 1201/86 has been filed by Welfare Association representing class IV employees and the third Writ Petition has been filed by retired employees.
"The appellant was using certain premises in Calcutta for storing rice flour, etc.","without taking out any license under section 386(1)(a) of the Calcutta Municipal Act, 1923."
"The property of the respondent was acquired under the U. P. Land Acquisition (Rehabilitation of Refugees) Act, 1948.",The respondent challenged the constitutionality of the Act by way of a writ petition and though the High Court dismissed the petition it held that the two provisos to s.11 of the Act were invalid as they offended section 299(2) of the Government of India Act.
"The provisions of a. 6(c) (d) and (e) of the (same as section 4 of the Punjab General Clauses Act, 1898) relating to the consequences of the repeal of a law are applicable not only when an Act Regulation is repealed simpliciter but also to a case of repeal and simultaneous enactment re enacting all the provisions of the repealed law.",On the repeal of a law the consequences mentioned in a. 6(c)(d) and (e) of the Act follow unless a different or contrary intention appears from the repealing statute.
"On 4 March 2005, the appellant (the owners) bought a cruise ship called the New Flamenco (the vessel).",The vessel had been chartered to the respondent (the charterers) by its previous owners by way of a time charterparty (the charterparty).
"Can a member of a Limited Liability Partnership (LLP) be a worker within the meaning of section 230(3) of the Employment Rights Act 1996 (the 1996 Act)? If she is, she may claim the benefit of the protection given to whistle blowers in sections 43A to 43L of that Act, inserted by the Public Interest Disclosure Act 1998.",There are also potentially other rights involved if the member is a worker.
"This is a challenge to the decision of 29 July 2014 by HM Treasury (HMT) to use National Savings and Investments (NS&I) to deliver the Government policy of Tax free Childcare (TFC), which I describe below (para 16).",TFC is designed to replace the policy of employer supported childcare (ESC) under which the Government gives relief from tax and national insurance contributions to employers which support their employees with the cost of childcare.
(Civil) No. 960 of 1987.,(Under Article 32 of the Constitution of India).
Samples of a certain brand of tinned condensed milk were taken from the appellants ' shop by the Food Inspector.,The Public Analyst found the fat content of the condensed milk below standard.
Appeals Nos. 19 & 20 of 1963.,"Appeals from the judgment and decree dated July 31, 1959 of the Patna High Court in Appeals from Original Decree Nos. 30 and 40 of 1953 respectively."
ivil Appeal No. 729 of 1983.,"From the Judgment and order dated 20.11.1987 of the Customs Excise and Gold (Control) Appellate Tribunal, New Delhi in Appeal No. F/A No. 1325/83 D (Order No. 920/87 D)."
"A complaint filed by respondent Pratap Bhanu Prakash Singh alleging that the appellant to whom he has entrusted the 27000 shares purchased by him from Rohtas Industries against a loan of Rs. 1.82 lacs advances by the latter, has committed a breach of trust of the amount covered by the shares by selling them against his express directions, was inquired into the trial magistrate and was dismissed later on 28 10 71.",The revision filed before the Sessions Judge Delhi failed.
minal Appeal No. 65 of 1954.,"Appeal by special leave from the judgment and order dated the 2nd January 1953 of the Judicial Commissioner 's Court at Ajmer in Criminal Appeal No. 3 of 1952 arising out of the judgment and order dated the 4th January, 1952 of the Court of Sessions Judge at Ajmer in Criminal Appeal No. 300 of 1951."
"The Government of Karnataka State made a reference under section 10 of the (hereinafter referred to as 'the Act ') referring Certain dispute between the Regional Provident Fund Organisation established by the Central Government for that State under the Employees ' Provident Fund & Miscellaneous Provisions Act, 1952 and its employees to the Industrial Tribunal.",The Regional Provident Fund Organisation raised two preliminary objections viz. that the activity carried on by the management was not an industry and that the State Government was not the appropriate Government under the Act in relation to the dispute between it and its employees.
minal Appeal No. 172 of 1962.,"Appeal by special leave from the judgment and order dated March 7, 1962, of the Mysore High Court in Criminal Revision Case No. 100 of 1961."
"The appellants as the Mahants of the respective maths or asthals were served with notices under section 59 of the Bihar Hindu Religious Trusts Act, 195o, by the President, Bihar State Board of Religious Trusts, asking them to furnish statements and accounts of the properties in their possession.","They challenged the constitutional validity of the Act by proceedings taken in the High Court on the grounds (1) that sections 2, 5, 6, 7 and 8 of the Act infringe article 14 Of the Constitution, inasmuch as there was inequality of treatment as between Hindu religious trusts on one hand and Sikh religious trusts on the other, the latter having been excluded from the purview of the Act, and that there was inequality of treatment even as between Hindu religious trusts and Jain religious trusts, though both came under the Act; (2) that the provisions of ch."
"The plaintiff (appellant), his father and step brother were owners of lands in a village in the former State of Hyderabad.","Coming to know that the two brothers and father were contemplating to migrate to Pakistan, defendant No. 1 suggested to the plaintiff that he would manage their properties but that since he was not in good health, a nominal power of attorney might be granted in favour of defendant No. 34."
The Sea Fish Industry Authority (the Authority) is established under the Fisheries Act 1981 with powers granted for the purpose of promoting the efficiency of the sea fish industry and so as to serve the interests of that industry as a whole (section 2(1)).,"For the purpose of financing its activities, the Authority may, by regulations confirmed by ministerial order, impose a levy on persons engaged in the sea fish industry (section 4(1) and (2))."
The respondent was a medical practitioner in Uttar Pradesh and maintained a dispensary from which medicines were issued to his patients according to his prescriptions.,"According to notification No. S.T. 3504/X, dated May 10, 1956 issued under section 3A of the U.P. Sales Tax Act, 1948, tax in respect of sale of medicines and pharmaceuticals manufactured in the State was payable at single point on the sale effected by the manufacture."
Section 34 of the Indian Penal Code is merely explanatory.,It does not create any specific offence.
The appellant 's land was acquired and compensation was awarded to him by the Land Acquisition Officer.,"Demanding a higher amount, the appellant had the matter referred to the District Judge who increased the award, but still discon tented, the appellant went in appeal."
The lands in dispute had been granted in inam to a temple.,"By about 1929 the then manager of the temple disposed of all those properties under various sale deeds, resigned his position and left the village."
"A who was the Dewan of the State of Bhavnagar before responsible government was introduced in the State, was granted a monthly pension of Rs. 2,000 by the Maharaja of the State by an order dated January 15, 1948.","On March 1, 1948 the State of Bhavnagar was merged in the United States of Saurashtra and the Maharajah ceased to be the Ruler of the State."
"The appellant who was appointed as a Train Lighting Inspector, Nagpur on July 11, 1974 by the Chief Electrical Engineer was removed from service by respondent No. 1; the Divisional Assistant Engineer, Central Railway Nagpur by his order August 31, 1976.",The Writ Petition filed by the appellant in the Bombay High Court challenging the order of removal was dismissed summarily by a Division Bench of that Court.
"The appellant and the respondent entered into a written partnership with respect to the managing agency business of two mills, the terms of which were, inter alia, that the management shall be carried on in rotation once in four years, the appellant to manage for the first four years and thereafter the respondent to manage for the next four years and in the same way thereafter.",999 It further provided that the partners and their heirs and those getting their rights shall carry on the management in rotation.
"The trustees of a tempter filed a suit for rendition of accounts 'against ,the ex trustees, in respect of their management of the temple.","The trial court and the first appellate court, in their discretion and having regard to the circumstances of the case, directed the defendants to render accounts for about six years prior to the plaintiffs taking possession of the temple."
"By a notification dated November 2, 1864, a piece of land forming part of the Panchannagram Estate which was permanently settled under Regulation 1 of 1793, was acquired by the Government of Bengal at the instance of the justices of the Peace for the Town of Calcutta, which was a corporation established under the provisions of the Calcutta Municipal Act, 1863, and the justices were required to pay the compensation payable to the proprietor of the Estate.","After the acquisition, the proprietor of the Estate was granted abatement of land revenue assessed on the Estate to the extent of Rs. 386 7 1, being the proportionate land revenue on the land acquired."
Civil Appeal No. 1148 1979.,From the Judgment and Order dated 4.4.1979 of the Delhi High Court in S.A.O. No. 103 of 1979.
"The appellants, all Algerian nationals, were suspected terrorists whom the Secretary of State proposed to deport to Algeria.",It was common ground that Algeria was a country where torture was systematically practised by state officials and no state official had ever been prosecuted for it.
"The late H.E.H. Nawab Mir Sir Osman Ali, the Nizam of Hyderabad by an indenture dated March 29, 1951 created the trust called H.E.H. the Nizam 's Jewellery Trust in respect of 107 items of extremely valuable, rare and priceless jewellery for the benefit of his two sons, two grand sons, two grand daughters, daughter and step son.",The nominee of the Government of India .
Civil Appeal No. 4567 of 1989.,From the Judgment and Order dated 22.12.1988 of the Punjab & Haryana High Court in C.R. No. 1327 of 1987.
Appeal No. 64 of 1953.,"Appeal by special leave from the Judgment and Decree, dated the 29th November, 1951, of the Court of the Judicial Commissioner for Himachal Pradesh at Simla in Civil Revision No. 52 of 1951."
Appeal No. 1283 of 1967.,"Appeal by special leave from the Order dated April 2/3, 1967, of the Court of Assistant Commissioner (Judicial) 1, Sales Tax, Kanpur Range, Kanpur in Appeal No. D.F.78 of 1966."
"The Union of India, the appellant, approached the High Court under Article 226 of the Constitution, challenging notices of demand issued by the Municipal Council, respond ent No.1, claiming tax to the tune of Rs. 28,400 by way of 'Service charges ' due for the period 1954 to 1960, under Article 285 of the Constitution read with Section 135 of the Indian Railways Act, 1890.","The High Court dismissed the writ petition negativing the claim, against which, this appeal by special leave was filed."
minal Appeal No. 667 of 1980.,From the Judgment and Order dated 31.7.1980 of the Allahabad High Court in Crl.
"The Pepsu Tenancy and Agricultural Lands Act XIII of 1955 came into force on March 6, 1955, whereby it was provided that every land owner would be entitled to select any parcel or parcels of land not exceeding the permissible limit, which was fixed at 30 standard acres.",The principal Act was amended in 1956 by the inclusion of Chapter 4A which provided for the Government taking over the surplus lands in the hands of a land owner.
"On a complaint filed by 'the Registrar of Companies, and after an investigation by the Police ordered by the Chief Presidency Magistrate, Calcutta, proceedings were instituted against the appellants for conspiring to commit criminal breach of trust in respect of a company 's funds.","After a large number of witnesses were examined and several documents were tendered in evidence, the Magistrate committed the accused to stand trial for offences under section 120B read with Sections 409, 477A I.P.C. before the Court of Sessions."
"as a populist measure to describe some provisions in the Finance Bill in the explanatory memorandum while introducing the Bill in the Parliament can neither be determinative of, nor can it camouflage the true object of the legislation.",It is not unlikely that the phrase 'welfare measures ' was used to emphasise more on the effect of the provisions thereunder on the taxpayer for populism.
ition No. 4659 of 1979 (Under Article 32 of the Constitution.) G. section Mann for the Petitioner.,Har Dev Singh for the Respondents.
: Special Leave Petition (Criminal) No. 372 of 1985.,"From the Judgment and Order dated 18/19.9.1984 of the Bombay High Court in Criminal Appeal No. 423 of 1981 S.B. Bhasme, A.B Bhasme and M.A, Firoz for the Petitioner."
Trade Fair Authority of India Employees ' Union had been demanding from the management (i) housing facilities for the employees; (ii) regularisation of at least 50% of casual or daily rated employees and (iii) upward revision of the salaries and allowances of the workers.,These demands were discussed by the Union with the management from time to time but nothing concrete except assurances emerged.
The respondent was a citizen of India at the commencement of the Constitution in 1950.,"He entered India on April 1, 1955, with a Pakistani passport dated March 15, 1955, and overstayed in India beyond the permitted period."
Under section 3 of the Prevention of Corruption Act.,"1947, an offence punishable under section 161 or section 165 of the Indian Penal Code 313 is a cognisable offence for the purposes of the Criminal Procedure Code subject to the condition that the police shall not investigate without an order of a magistrate of the first class or make an arrest without a warrant; and when the police apply for a warrant of arrest during inves tigation under section 3 of the said Act and the magistrate issues a warrant, he is not deemed to have taken cognisance of the case under section 190 of the Criminal Procedure Code and the fact that sanction of the Government under section 197 of the Criminal Procedure Code had not been obtained before the warrant was issued would not vitiate the trial."
"The earliest provision granting exemption from super tax in respect of inter corporate dividend was made as far back as 9th December, 1933 in a Notification issued by the Governor General in Council and it provided as follows: ""The Governor General in Council is pleased to exempt from super tax: 779 (i) So much of the income of any investment trust company as is derived from dividends paid by any other company which has paid or will pay super tax in respect of the profits out of which such dividends are paid"".","This provision came up for consideration before a Division Bench of the High Court of Bombay in CIT vs Industrial Investment Trust Co. Ltd. The High Court guided by a decision of this Court in CIT vs South India Bank held that the dividend income which was exempted under the notification would be the dividend income received by the assessee and not the said income less any further amounts"" because the notification must be regarded a self contained one and not controlled by any other provisions of the Act and there was no warrant to construe the word income ' in the notification as total income nor to qualify the dividend computed under Section 12 of the Act."
"This appeal is concerned with a challenge to the legality of legislation of the Scottish Parliament which deprives a person, A, who is accused of sexual activity with an under aged person, B, of the defence that he or she reasonably believed that B was over the age of 16, if the police had previously charged A with a relevant sexual offence.","The appellant raises a compatibility issue, which is a question, arising in criminal proceedings, as to whether an Act of the Scottish Parliament or any provision of an Act of the Scottish Parliament is incompatible with any of the Convention rights: section 288ZA(2)(b) of the Criminal Procedure (Scotland) Act 1995 (the CPSA 1995)."
"% Controversies relating to the seniority of the officers in the Indian Forest Service (I.F.S., for short) in this batch of cases from the States of Maharashtra, orissa and Uttar Pradesh, arose as asequal to three decisions of this Court in regard to the constitution of the Indian Forest Service, in Kraipak vs Union of India, AIR 1970 SC 150; Parvez Qadir vs Union of India, and Union of India vs Chothia, ; The Court had to consider in these cases the questions arising out of the selections made by the Special Selection Boards (S.S. Bs.) in place of the selections set aside by the Kraipak case above mentioned, and was concerned with the initial recruitment under section 4(1) of the I.F.S. (Recruitment) Rules, 1966.",The first selections by way of initial recruitments to the State cadres were made sometime in 1966 and 1967.
"Appeal, Nos.",606 610 of 1963.
"Section 20(1) of the (XXVII of 1953), read with the proviso, is a perfectly reasonable provision and in the interest of the employees and it is not correct to say that it can apply only to the direct recruits of the existing air 812 companies and not at all to loaned employees working under them.","The two conditions of its applications are (i) that the officer or employee was employed by the existing air company on July 1, 1952, and (ii) that he was still in its employment on August 1, 1953, the appointed day."
N: Criminal Appeal No. 238 of 1988.,From the Judgment and Order dated 4.8.1986 of the Punjab and Haryana High Court in Criminal Appeal No. 329 DB of 1986 and Murder Reference No. 2 of 1986.
The assessee who was dealing in iron scrap and hardware had purchased a jute press and sold it at a profit.,"The Income tax Officer brought to tax in the hands of the assessee, the profit arising out of this sale."
These appeals raise important and difficult issues in the field of equity and trust law.,"Both appeals raise issues about the so called rule in Hastings Bass, which is concerned with trustees who make decisions without having given proper consideration to relevant matters which they ought to have taken into account."
s Nos. 188 and 189 of 1954.,Under article 32 of the Constitution of India for the enforcement of Fundamental Rights.
"The appellant, though charged section 302 of the Indian Penal Code for intentionally causing the death of one K. G. Thomas alias Thampi, a well built male of 32 years on the night of December 16, 1972, by inflicting a stab 3X1 cm.","over his left infrascapular area was, however, on a consideration of the material adduced before him, acquitted of the said charge and convicted section 326 and sentenced to 7 years rigorous imprisonment by the Sessions Judge."
"By a Deed of Trust dated May 10, 1950, the Nizam of Hyderabad created a Family Trust.","A corpus of nine crores in Government securities was transferred lo the trustees under that Deed, which was notionally divided into 175 equal units, 5 units to constitute a fund called the 'Reserve Fund ', 31/2 units to constitute the 'Family Trust Expenses Account ' and the remaining 116 1/2 units were allotted to the relatives mentioned in the Schedule in the manner provided therein."
Appeals Nos.,1060 1064 of 1965.
minal Appeal No. 165 of 1960.,"Appeal from the judgment and order dated July 22, 1960, of the Calcutta High Court in Criminal Appeal No. 448 of 1960."
